Word,Clue
ETTAS,Jazzy James and Jones
DENIM,Jeans material
SCOFF,Jeer
ASPIC,Jellied garnish
BEALS,"Jennifer of ""Flashdance"""
SPASM,Jerk
LOUTS,Jerks
TWITS,Jerks
TRUDY,Jerry Marcus comic strip
SHIRT,Jersey
UNRUH,Jesse who lost the governor's race to Ronald Reagan in 1970
TANDY,Jessica who was the original Blanche DuBois on Broadway
DCTEN,Jet similar to a 747
LEAPS,"JetÃ©s, e.g."
LOUPE,Jeweler's magnifying glass
SIZER,Jewelry store gadget
PURIM,Jewish festival usually in March
BUBBE,Jewish grandma
IGOTA,"Jim Croce's ""___ Name"""
HATLO,"Jimmy ___, ""They'll Do It Every Time"" cartoonist"
SMITS,"Jimmy of ""The West Wing"""
LEVER,"Jimmy, for one"
DITTY,"Jingle, e.g."
DECAF,Jitter-free jitter juice
KERNS,"Joanna of ""Growing Pains"""
HEIST,Job that usually requires a face covering
STINT,Job to do
SILKS,Jockey's wear
ISSHE,"Joe Jackson's ""___ Really Going Out With Him?"""
EXJET,Joe Namath or Mark Gastineau
PESCI,"Joe of ""GoodFellas"""
GUARE,"John ___, ""The House of Blue Leaves"" playwright"
SPEKE,"John ___, English explorer who named Lake Victoria"
ROLFE,"John ___, husband of Pocahontas"
NOBEL,John B. Goodenough is the oldest person ever to get one (at age 97)
LEWIS,John for whom the Voting Rights Advancement Act was named
ADANO,"John Hersey's ""A Bell for ___"""
GLENN,John in space
TOOLE,"John Kennedy ___, author of ""A Confederacy of Dunces"""
SPIES,John le Carre heroes
ALDEN,John on the Mayflower
MCVIE,John or Christine of Fleetwood Mac
APLEY,"John P. Marquand's ""The Late George ___"""
HONDO,John Wayne title role
DEREK,"John who directed ""Tarzan, the Ape Man"""
DONNE,"John who wrote ""No man is an island"""
WAITE,"John with the 1984 #1 hit ""Missing You"""
POPES,"John, Paul and John Paul"
SENDA,"Johnny Cash's ""___ Picture of Mother"""
IWALK,"Johnny Cash's ""___ the Line"""
OLSON,"Johnny who used to cry ""Come on down!"""
UNITE,Join forces
ENROL,"Join the club, in Canterbury"
FUSES,Joins
CLAPS,"Joins a rendition of ""If You're Happy and You Know It,"" say"
PLENA,Joint assemblies
CUTUP,Jokester
HEDER,"Jon of ""Napoleon Dynamite"""
CRYER,"Jon of ""Two and a Half Men"""
PETRA,Jordanian tourist site
NOTES,Jots down
GWENS,Journalist Ifill and others
BEHAR,Joy of TV
SOAPY,Joy-filled?
PAEAN,Joyous song
ISITI,Judas's question
LANDS,"Judea and Sheba, in the Bible"
HEROD,Judean king
BANCS,Judges' seats
DEEMS,Judges to be
HOWIE,"Judging partner of Simon, Heidi and Sofia on ""America's Got Talent"""
POKEY,Jug
GAIUS,Julius Caesar's first name
SUMOS,Jumbo combatants
NODES,Junction points
TVMOM,June Cleaver or Marge Simpson
CHANG,"Jung ___, author of the 1991 best seller ""Wild Swans"""
ANIMA,Jungian feminine side
VINES,Jungle tangle
DENSE,Junglelike
YEARS,Junior and senior
SCOWS,Junk transporters
NEWLY,Just
DPLUS,Just below C level?
INFUN,Just for laughs
AOKAY,Just peachy
AMITE,Just slightly
YOUNG,"Just under way, so to speak"
KAGAN,Justice nominated by Obama
NSYNC,Justin Timberlake's former group
GRAND,K
SUTRA,Kama ___
DOJOS,Karate schools
SAGAL,Katey who played Peg Bundy
NOLAN,Katie of ESPN
PEETA,"Katniss's partner in ""The Hunger Games"""
ODIST,"Keats, for one"
ZESTA,Keebler cracker brand
ELVES,Keebler crew
RUBYS,Keeler and Dee
WATCH,Keep an eye on
TIEUP,Keep busy
HOARD,Keep everything for oneself
REWET,Keep from drying out
FOGIN,"Keep from flying, maybe"
SITON,Keep under wraps
STEWS,"Keeps thinking ""Grrrr!"""
TUSHY,Keister
BREED,Kennel club category
BRAHE,Kepler's contemporary and assistant
LIVED,Kept going
IRVIN,"Kershner who directed ""The Empire Strikes Back"""
SORBO,Kevin who played Hercules
AFLAT,"Key for Chopin's ""Heroic"" Polonaise"
BFLAT,Key next to A
EFLAT,"Key of Beethoven's ""Eroica"""
DFLAT,"Key of Debussy's ""Clair de Lune"""
TILDE,"Key symbol near ""!"""
ANKHS,Key symbols
VALET,Key worker at a restaurant?
WINGS,KFC order
OMARS,Khayyam and others
SEDAN,"Kia Rio, e.g."
LAZED,Kicked back
RENIN,Kidney secretion
JESTS,Kids around
TBALL,Kids' batting game
BILLY,Kid's father
OFFED,"Killed, in mobspeak"
NOVAK,"Kim of ""Vertigo"""
OLEIC,Kind of acid
FOLIC,Kind of acid found in asparagus
MATZO,Kind of ball that's edible
NICAD,Kind of battery
WIPER,Kind of blade
NACHO,Kind of chip
INNER,Kind of circle
DIXIE,Kind of cup
OXEYE,Kind of daisy
AZOIC,Kind of dye
STAPH,Kind of infection
MASON,Kind of jar
BOWIE,Kind of knife
HOWTO,Kind of manual
TELEX,Kind of message made obsolescent by faxes
JELLO,Kind of mold
KODAK,Kind of moment worth recording
PEASE,Kind of porridge
YESNO,Kind of question
MANTA,Kind of ray
PENAL,Kind of reform or code
BUNDT,Kind of ring-shaped cake
PONZI,Kind of scheme
PIXIE,Kind of short cut
AXIAL,Kind of symmetry
AGAVE,Kind of syrup that's an alternative to honey
APGAR,Kind of test for a baby
ROYAL,Kind of treatment
HUSKY,Kind of voice or dog
PROXY,Kind of vote for a shareholder
ALLEN,Kind of wrench
HATHA,Kind of yoga
EBOOK,Kindle download
GREED,King Midas's downfall
DAVID,King of ancient Israel
MIDAS,King of myth
OLAFV,"King of Norway, 1957-91"
JACKO,"King of Pop, in tabloids"
WOTAN,"King of the gods in Wagner's ""Ring"" cycle"
PRIAM,"King of Troy in the ""Iliad"""
ROHAN,"Kingdom of horsemen in ""The Lord of the Rings"""
TONGA,Kingdom whose capital is Nuku'alofa
REGAL,Kingly or queenly
GUNGA,"Kipling's ""___ Din"""
IRAQI,Kirkuk resident
DUNST,"Kirsten of ""Spider-Man"""
SMACK,Kiss
CRISS,Kiss drummer Peter
OCELO,"Kitchen brand whose name becomes an animal after adding a ""t"""
RICER,Kitchen gadget for making mashed potatoes
TOWEL,Kitchen item on a roll
CUTCO,Kitchen utensil brand
MEWER,"Kitten, at times"
PUSSY,Kitty-cat
FLAIR,Knack
MIDIS,Knee-covering skirts
QUEST,Knight's undertaking
NODAL,Knobby
RAPAT,"Knock on, as a window"
WOWED,Knocked the socks off
BONKS,Knocks on the noggin
STUNS,Knocks the socks off
TYING,Knot-___ (scout's skill)
VIRTU,Knowledge of fine arts
FORTS,Knox and Dix
UTENN,Knoxville sch.
STADT,Koln or Nurnberg
HAFIZ,Koran memorizer
KREME,Krispy ___
CARPS,Kvetches
CRABS,Kvetches
GETTY,L.A.'s ___ Museum
ACTUP,L.G.B.T.-aligned advocacy group since 1987
JCREW,L.L. Bean competitor
JOLLA,La ___ (San Diego area)
VIALS,Lab containers
RANDD,Lab dept.
UTUBE,Lab item that sounds like a popular website
PIPET,Lab tube
SMOCK,Lab wear
VITRO,"Lab-assisted, after ""in"""
PATTI,LaBelle or LuPone
VIRGO,"Labor Day baby, e.g."
ILGWU,Labor grp.
CESAR,Labor organizer Chavez
TEARY,Lachrymose
NOSAY,Lack of influence
STONY,Lacking any emotion
BLIND,Lacking any preparation
NOPAR,Lacking face value
FUZZY,Lacking focus
RENES,Lacoste and Descartes
ASTOR,"Lady ___, first female member of Parliament"
AMICA,"Lady friend, in Florence"
GAMED,Laid bets at a casino
FAIRE,Laissez-___
NYASA,"Lake bordered by Malawi, Mozambique and Tanzania"
PADMA,"Lakshmi of ""Top Chef"""
OFNOD,Land ___
BENIN,Land between Togo and Nigeria
JAPAN,Land east of the Yellow Sea
PANEM,"Land in ""The Hunger Games"""
KULAK,Landed peasant in pre-1917 Russia
ROOFS,Landing spots for Santa
THUDS,Lands heavily
EDGER,Landscaper's tool
DRURY,Lane on the eastern boundary of Covent Garden
FRITZ,"Lang who directed ""Metropolis"""
COBOL,Language created in 1959
TAMIL,"Language from which ""curry"" and ""catamaran"" come"
NORSE,"Language from which ""reindeer"" comes"
BANTU,Language group of southern Africa
MAORI,"Language in which ""kia ora"" is a greeting"
WELSH,"Language in which ""Thank you very much"" is ""Diolch yn fawr iawn"""
SCOTS,"Language in which you might be greeted ""Hullo, hoo are ye?"""
DANSK,"Language of Copenhagen, to locals"
SWAZI,Language of southern Africa
HINDI,Language written in the Devanagari script
PEWIT,Lapwing
THEFT,Larceny
ORIEL,Large bay window
LUNAS,Large green moths
GILAS,Large lizards of the Southwest
NONET,Large musical combo
CONCH,Large seashell
PRAWN,Large shrimp
NIMBI,"Large, gray rain clouds"
DUBAI,Largest city in the United Arab Emirates
LUZON,Largest island in the Philippines
PLUTO,Largest object in the Kuiper belt
STIEG,"Larsson who wrote the ""Millennium"" trilogy"
LARUE,Lash with a bullwhip
ROPED,Lassoed
CCCLI,Last full year of St. Julius I's papacy
OMEGA,Last of the Greeks
UNCAS,Last of the Mohicans
GRAIL,Last Supper item
MYSON,"Last words of Kipling's ""If"""
ASNER,Late actor Ed
COREA,Late jazz pianist Chick
GRETE,Late marathoner Waitz
ASTER,Late-blooming flower
LOOFA,Lather gatherer
HAILS,Lauds
RIANT,Laughing
DDAYS,Launch times
BEGAN,Launched
TEWES,"Lauren of ""The Love Boat"""
DOTED,Lavished attention (on)
LICIT,Lawful
ANEGG,Lay ___
TURFS,Lays down the lawn?
SLOTH,Laziest of the deadly sins
HAVRE,Le ___ (French port)
GIBBS,"Lead agent on ""NCIS"""
BRODY,"Lead character in seasons 1-3 of ""Homeland"""
JAROD,"Lead character on TV's ""The Pretender"""
KATHY,"Lead female role in ""Singin' in the Rain"""
ROXIE,"Lead role in ""Chicago"""
RINGO,"Lead singer of ""Yellow Submarine"""
ONEAT,Leader for a time?
THANE,Leader of an olden clan
FIDEL,Leader succeeded by his brother Raul
HELMS,Leadership positions
WAROF,Lead-in to 1812 or attrition
TAKEA,Lead-in to bath or powder
INTER,"Lead-in to com or net, but not org"
SERIO,Lead-in to comic
RENTA,Lead-in to cop or car
PASDE,Lead-in to deux or trois
THORO,Lead-in to fare
STYRO,Lead-in to foam
PERMA,Lead-in to frost
ACTOF,Lead-in to God or Congress
SAUER,Lead-in to kraut or braten
PORTA,Lead-in to potty
UPONE,Leading by a single point
ALPHA,Leading character
BOWER,Leafy shelter
ADRIP,"Leaky, as a faucet"
CANES,Lean on them
TENDS,Leans
JUMPS,Leapfrogs
AXELS,Leaps on the ice
ASCAR,Leave ___ (do permanent damage)
LETBE,Leave alone
DITCH,Leave behind
STIFF,Leave nothing behind?
PARCH,Leave thirsty
SLAYS,Leaves 'em rolling in the aisles
STETS,Leaves in
BEKAA,Lebanese valley
LEERS,Lecherous looks
FIFED,"Led a parade, musically"
OGLES,Leers at
APORT,Left at sea
REPLY,"Left-facing arrow, in an email"
SHANK,Leg
SQUAT,Leg exercise
HAMMY,"Leg muscle, in sports slang"
PARAS,"Legal assistants, for short"
LALAW,Legal drama with Jimmy Smits
LANIS,Legal scholar Guinier and others
ESTOP,Legally foreclose
DEBAR,Legally prohibit
ADAIR,Legendary firefighter Red
CBGBS,"Legendary music club in Lower Manhattan, informally"
MESTA,Legendary Washington hostess
APODS,Legless creatures
ADHEM,"Leigh Hunt poem ""Abou Ben ___"""
ZESTS,"Lemon twists, e.g."
HORNE,"Lena of ""Cabin in the Sky"""
AIDED,Lent support to
SAYER,"Leo with the 1977 #1 hit ""When I Need You"""
ZELIG,"Leonard ___, subject of a 1983 mockumentary"
VINCI,Leonardo's home
ETATS,Les ___-Unis
STAHL,"Lesley of ""60 Minutes"""
NOTAS,Less
PALER,Less bright
FINER,Less coarse
RAWER,Less cooked
ICIER,Less cordial
COYER,Less forward
WISER,Less naÃ¯ve
SHIER,Less outgoing
SHYER,Less outgoing
SAFER,Less risky
MUTER,Less talkative
RARER,Less well done
CARIB,Lesser Antilles native
SHOVE,Less-than-subtle basketball foul
UNDAM,Let flow again
UNTIE,Let loose
UNPEG,Let off the hook?
UNPEN,Let out of the corral
SOPOR,Lethargy
JARED,"Leto of ""My So-Called Life"""
AITCH,Letter after gee
TSADI,Letter before qoph
ALEPH,Letter in El Al's logo
YOURS,Letter sign-off
GRIPE,"Letter to the editor, often"
BETHS,Letters before gimels
IOTAS,Letters between thetas and kappas
HBEAM,Letter-shaped construction piece
TBEAM,Letter-shaped construction piece
TSLOT,Letter-shaped opening for a bolt
PTRAP,Letter-shaped part of a sink
ABALL,"Level near the bottom of the minors, informally"
RAZER,Leveler
KOING,Leveling in a ring
RAZES,Levels
SHIMS,Levels
CLARK,Lewis and ___ Expedition
APSOS,Lhasa ___ (dogs)
DUEBY,Library book words
TITLE,"Library catalog listing after ""author"""
BOITO,"Librettist for Verdi's ""Otello"" and ""Falstaff"""
SIDRA,Libya's Gulf of ___
ANISE,Star ___ (spice)
AMORT,"Lifeless, old-style"
SKIER,Lift user
ASAIR,Light ___
LILTS,Light airs
AQUAS,Light blue shades
CORKS,Light brown seals
GAGES,Light green plums
LUMEN,Light measurement
NOCAL,Lighter than lite
WOOZY,Lightheaded
SINGE,Lightly burn
TAPON,"Lightly hit, as a shoulder"
ABOLT,Like ___ from the blue
AFISH,Like ___ out of water
PRIME,Like 2017 and 2027
TONOF,Like a ___ bricks
WORMY,Like a bad apple
MEALY,"Like a bad apple, maybe"
LANKY,Like a beanpole
UNLIT,"Like a birthday cake, pre-party"
NOSEY,Like a buttinsky
HUNKY,Like a Chippendales dancer
NOBID,Like a contract awarded without competition
NOFUN,Like a Debbie Downer
TYPEA,Like a go-go-go personality
NOWIN,Like a hopeless situation
COCKY,Like a know-it-all
ACRED,Like a land baron
MACHO,Like a manly man
WEEDY,Like a neglected garden
MESHY,Like a net
DYING,Like a phone down to 1%
ITCHY,Like a poison ivy rash
UNWON,Like a prize that's still up for grabs
WOOLY,Like a sheep
MANGY,Like a sorry-looking dog
MOONY,Like a space cadet
WOVEN,Like a tapestry
NORUN,Like a three-pitch inning
INLOW,Like a truck descending a steep hill
ONOFF,Like a two-position electrical switch
WARTY,Like a witch's nose
MAYAN,Like an early Central American civilization
REEDY,Like an oboe's sound
LINTY,"Like an unbrushed suit, maybe"
MISTY,Like areas around waterfalls
PUDGY,"Like babies' legs, often"
GERMY,Like bathroom doorknobs
CUBED,Like beef for fondue
APIAN,Like bees
TIGHT,Like BFFs
VEINY,Like bodybuilders' arms
STALE,"Like bread used for stuffing, often"
CONIC,Like Bugles snacks
TOXIC,Like chlorine gas
SPELT,Like C-O-L-O-U-R or M-E-T-R-E
TYPED,"Like computer data, with ""in"""
WAXEN,Like crayons
SOOTY,"Like Dick Van Dyke when singing ""Chim Chim Cher-ee"""
MURKY,Like dirty water
SUDSY,Like dishwasher water
CAKED,Like dry mud on a dog's paws
LORES,Like early computer graphics
WIDER,Like EE vis-a-vis E
UPLIT,Like faces around a campfire at night
NICER,Like five-star hotels vis-Ã -vis three-star ones
TINED,Like forks
LUCKY,"Like four-leaf clovers, supposedly"
CLOSE,Like games decided by buzzer beaters
HIRES,"Like good computer screens, for short"
DISHY,Like good gossip
TARED,Like goods weighed on scales
NORSK,"Like Grieg, to Grieg"
CORNY,Like groaner humor
ROOTY,Like ground around a tree
SPINY,Like hedgehogs
LEGGY,Like herons and flamingos
INDIC,Like Hindi or Urdu
ABUZZ,Like hives
ROMAN,"Like I, for one?"
OBESE,"Like Ignatius J. Reilly in ""A Confederacy of Dunces"""
RAYED,Like Lady Liberty's crown
OVINE,Like lambs
TAXED,Like legalized marijuana
LEAFY,"Like lettuce, spinach and kale"
SCALY,Like lizards and fish
INCAN,Like Machu Picchu
EERIE,Like many a campfire story
SHEER,Like many a cliff or coincidence
PAVED,Like many a lot
ZONED,Like many a lot
NOFEE,Like many A.T.M.s
OAKEN,Like many barrels
BUGGY,Like many beta programs
PAGAN,Like many Christmas traditions
SWISS,Like many high-end watches
UNFED,Like many neglected pets
LEADY,Like many old water pipes
POLIT,Like many parties: Abbr.
GASSY,Like many people after eating beans
LANED,Like many pools and highways
RUTTY,Like many rural roads
RURAL,Like many scenes of the artist Jean-FranÃ§ois Millet
GUNKY,Like many sluggish drains
RLESS,"Like May through August, unlike the other months of the year"
GOOEY,Like molasses
ORKAN,Like Mork
SUNNI,"Like Morocco and the Maldives, religiously"
RATED,Like most bonds for sale
BAWDY,Like most Judd Apatow comedies
LUMPY,Like most oatmeal
TIMED,Like most standardized tests
MINED,Like much data
DUNED,Like much of Fire Island's shore
MIKED,Like N.F.L. referees since 1975
NOBLE,Like neon gas
RULED,Like notebook paper and monarchies
LOBED,Like oak leaves and brains
DIZZY,"Like one trying to hit a pinata, often"
MILKY,Like opals
BAGGY,Like oversize clothes
KHAKI,"Like park ranger's pants, often"
ARCED,Like paths of missiles
OVOID,Like pistachios and lemons
GIBED,"Like players on opposing teams, often"
CZECH,Like polka
ALGAL,Like pond scum
ELDER,Like Prince William vis-Ã -vis Prince Harry
SPILT,Like proverbial milk
AVIAN,Like rails and stilts
VINYL,Like records that are easily broken?
SILTY,Like river deltas
EXFBI,Like Robert Mueller beginning in 2013
TWINY,Like rope
THIRD,"Like Seth, among the offspring of Adam and Eve"
SLIMY,Like snails' trails
BOGUS,Like snake oil
LOAMY,"Like soil that combines sand, silt and clay"
RUNIC,Like some ancient characters
DIKED,Like some banks
UNBID,"Like some bridge suits, sometimes"
VELAR,"Like some consonants, in phonetics"
JUICY,Like some details
ANILE,Like some dodderers
INOUT,Like some doors
MIXED,Like some drinks and emotions
WAXED,Like some floors and legs
WINEY,Like some French sauces
AWNED,Like some grasses
LOOPY,Like some handwriting ... or tipplers
CUBAN,Like some high-end cigars
STEEP,Like some hills and prices
NOTIE,Like some kids' shoelaces
BLOND,Like some light wood
CLOTH,Like some masks
PREOP,"Like some medical tests, briefly"
SPIKY,Like some moussed hair
CAJUN,Like some New Orleans cooking
METRO,Like some news coverage
NONPC,Like some offensive humor
PULPY,Like some orange juice
TIDAL,Like some pools
CANED,Like some porch chairs
MUSKY,Like some scents for men
FAXED,Like some sent documents
SATIN,Like some sheets
JUMBO,Like some shrimp and jets
PEATY,Like some smoky Scotch
MINTY,Like some toothpastes
GATED,Like some wealthy neighborhoods
TRANS,"Like someone associated with a blue, pink and white flag, for short"
FREER,Like South Korea vis-a-vis North Korea
VEGAN,Like soy milk
CORKY,"Like spoiled wine, say"
RABID,"Like sports fans who paint their faces, say"
RAINY,Like stereotypical Seattle weather
FURRY,Like stuffed animals
TILED,"Like subway walls, often"
ASIAN,Person from the largest continent
GRAVE,"___ Digger, from Monster Jam"
TYPEO,Like the blood of a universal donor
DORIC,Like the columns of the Lincoln Memorial
GODLY,Like the devout
HUMID,Like the dog days of summer
RISEN,"Like the dough for naan, but not for roti"
ELESS,"Like the entire 290-page Georges Perec novel ""A Void,"" curiously enough"
SMOKY,Like the flavor of some barbecue sauces
NAVAL,Like the forces of an armada
CUBIC,Like the function f(x) = x^3
TONAL,Like the Hmong language
NINTH,Like the last complete symphony of Gustav Mahler
OMANI,Like the Mideast exclave of Madha
BRINY,Like the ocean
JAVAN,Like the rarest rhino
PINEY,Like the scent of many cleaners
DATED,"Like the slang ""da bomb"" and ""tubular, man!"""
STERN,Like the tone of a talking-to
IVIED,"Like the walls of an old church, maybe"
ABOIL,Like the water in a whistling teakettle
SOUPY,Like thick fog
BURNT,Like toast left too long in the toaster
THICK,"Like tomes, typically"
RUNNY,Like undercooked eggs
MATED,Like unsuccessful chess players
UMBLE,Like Uriah Heep
FOAMY,Like whitecaps
PANED,Like windows
BUXOM,Like women in Rubens paintings
MANED,Like zebras and lions
CUTER,Likelier to win a baby contest
YOKUM,Li'l Abner's surname
MAUVE,Lilac color
HOSTA,Lilylike plant
TODDS,Lincoln in-laws
TRIPP,Linda in 1990's news
LOHAN,"Lindsay of ""The Parent Trap"""
QUEUE,Line (up)
SCARP,Line of cliffs
ZAXIS,Line of depth
PARTS,Line on an auto shop invoice
FLOSS,Line through one's teeth?
INKLE,Linen tape for trimmings
WIRES,Lines of power
EGBDF,Lines on a staff
QUIPS,Lines that Groucho Marx is famous for
SYNCS,Lines up
TARRY,Linger
DWELL,Linger (on)
NOAMS,Linguist Chomsky and others
AEIOU,Linguistic quintet
TIETO,Link with
FORES,Links words
TAMER,Lion ___
LABIA,Lips
DRANO,Liquid-Plumr alternative
FIFTH,Liquor store purchase
BONET,"Lisa of ""A Different World"""
TAGUS,Lisbon's river
NEEDS,List for a survivalist
HEARD,Listened to
HARKS,Listens attentively
TIDES,Listings in a nautical table
LOCAL,Lite
SHISH,"Literally, ""skewer"""
JIHAD,"Literally, ""struggle"""
CANON,Literary scholars debate what's in it
DARIO,Literature Nobelist ___ Fo
LLOSA,Literature Nobelist Mario Vargas ___
TIKES,Little ___ (big toy company)
RHODY,Little ___ (state nickname)
DRESS,Little black ___
SNOTS,Little brats
KIDDO,Little buddy
SONNY,Little fella
PYGMY,Little person
PETEY,Little Rascals' ring-eyed pooch
MEECE,"Little rodents, jocularly"
DINKS,Little shots
GALOP,Lively dance in double time
INSIN,Living ___
DOCKS,Loading areas
USURY,Loan-sharking
ORNIS,Local bird life
TENPM,"Local news hour, on some stations"
NIMBY,Local protest acronym
NABES,Local theaters
STAIR,Locale near a landing
ZAIRE,Locale of 1974's Rumble in the Jungle
ANDES,Locale of Aconcagua
HALLS,Locales on a campus map
BASED,Located (in)
TOKYO,Location of an Asian Disneyland
TRESS,Lock
PLAIT,Lock option
ALAIN,"Locke who was called ""The Father of the Harlem Renaissance"""
FROZE,Locked up
JOCKS,Locker room habitues
PERMS,Locks in place for a while?
DREAM,Lofty ambition
ROLEO,Loggers' competition
PATHO,Logical beginning?
DILLY,Lollapalooza
DOOZY,Lollapalooza
KOJAK,Lollipop-sucking TV detective
GINAS,Lollobrigida and others
LAZES,Lolls (around)
LOAFS,Lollygags
RANGY,Long and lean
HOMER,Simpsons dad
SOAKS,Long baths
MAXIS,Long dresses
NECKS,Long guitar parts
TREKS,Long hikes
ISLIP,Long Island airport town
UPTON,Long Island home of Brookhaven National Laboratory
HEROS,Long lunches?
OFOLD,Long past
NOSEE,Long time follower?
SHLEP,"Long, tedious trip"
HERON,Long-beaked bird
EXURB,"Long-distance commuter's home, maybe"
USONE,Longest American north-south rte.
OLDEN,Long-gone
DRWHO,"Long-running sci-fi show, for short"
FEUDS,Longstanding disputes
TBOND,Long-term U.S. security
KENAN,"Longtime ""S.N.L."" cast member Thompson"
AINGE,Longtime Boston Celtics executive Danny
OZAWA,Longtime director of the Boston Symphony Orchestra
REGIS,Longtime first name in TV talk
SUNIN,Longtime hair lightener brand
AZERA,Longtime Hyundai model
LUGAR,Longtime Indiana senator defeated in 2012
PARDO,Longtime late-night announcer
CERTS,Longtime mint brand that doesn't contain any mint
LOEWS,Longtime name in cinemas
VANNA,"Longtime name on ""Wheel of Fortune"""
ROKER,"Longtime name on NBC's ""Today"""
FAVRE,Longtime Packers QB Brett
WYMAN,Longtime Rolling Stones bassist
ARLEN,Longtime senator Specter
STROM,Longtime senator Thurmond
LEAHY,Longtime Vermont senator
TALKY,Long-winded
SPIEL,Long-winded sales pitch
AWAIT,Look forward to
ABHOR,Look upon with disgust
HUNTS,Looks all over (for)
MOPES,Looks down
POUTS,Looks down
GAZES,Looks longingly
ANSAE,Looped handles
FRISE,Looped sofa fabric
OAKUM,Loose rope fiber used as caulking
ROMPS,Lopsided wins
LURER,"Lorelei, notably"
DOONE,Lorna ___ (Nabisco cookie)
GATOS,"Los ___, Calif."
LAKER,Los Angeles N.B.A. player
BLINK,Lose in a staring contest
FREAK,Lose it
GOAPE,Lose it
ERUPT,Lose one's cool
SCHMO,Loser
DEWEY,Loser to Truman in 1948
SLIPS,Loses one's footing
WILTS,Loses strength
SKIDS,Loses traction
AHEAP,Lots
AHOST,Lots (of)
MAMBO,"Lou Bega's ""___ No. 5"""
RAWLS,Lou with more than 70 albums
NOISY,Loud
CRUMP,Loud thudding sound
AROAR,"Loud, as a stadium"
MALLE,"Louis ___, ""My Dinner With Andre"" director"
BOTHA,"Louis ___, South Africa's first P.M."
SCARY,Lovecraftian
BEAUX,Lover boys
DEUCE,Low card in Texas hold'em
TRASH,"Low culture, disparagingly"
BASSO,Low opera voice
TREYS,Low pocket pair in Texas hold 'em
CRASS,Lowbrow
PALEO,"Low-carb ""stone age"" diet"
STOGY,Low-end smoke
DLIST,Lowest rating in showbiz's Ulmer Scale
PEONS,Lowest workers
DALES,Low-lying areas
SWALE,Low-lying wetland
MYRNA,"Loy of ""The Thin Man"""
TROTH,"Loyalty, old-style"
ENCLS,Ltr. accompaniers
REOIL,Lube up again
BRASI,"Luca who ""sleeps with the fishes"""
SATAN,Lucifer
IRISH,Luck o' the ___
CUSHY,Lucrative and undemanding
FARCE,Ludicrous display
IDTAG,Luggage label
REBEL,Luke Skywalker or Han Solo
SILVA,"Lula da ___, former president of Brazil"
QUIET,Lull
AXMAN,Lumberjack
AXERS,Lumberjacks
AXMEN,Lumberjacks
AGLOW,Luminous
RILLE,Lunar valley
JOANS,Lunden and Crawford
FLYAT,Lunge toward
DIPSO,Lush
GLOSS,Luster
NACRE,Lustrous shell compound
PANNE,Lustrous velvet
DENOM,"Luth. or Meth., e.g."
DUCHY,Luxembourg is a grand one
SWANK,Luxurious
CADDY,"Luxury car, informally"
LOSIN,"Lynyrd Skynyrd's ""Am I ___"""
GOREY,Macabre illustrator Edward
SPICE,"Mace, for one"
WAXER,Machine near the end of a car wash
MANLY,Macho
HEMAN,Macho guy
BAWDS,Madams
NUTTY,Madcap
ACTED,Made a move
TRIED,Made an attempt
FREED,"Made available, with ""up"""
BAAED,Made ewe cry?
EASED,Made lighter
FARED,Made out
FINED,Made to pay as punishment
REDUG,"Made, as a new trench"
ADBIZ,Madison Ave. industry
DONAS,Madrilenian madams
MASUR,Maestro Kurt ___
CAPOS,Mafia bosses
ADREP,Mag space seller
SIGIL,Magical symbol
GAUSS,Magnetic induction unit
LIDEE,"Magritte's ""___ Fixe"""
TILES,Mahjong set
FOCAL,Main
AORTA,Main artery
CREPE,Main component in the Chinese street food jianbing
BRUNT,Main force
CASCO,Maine's ___ Bay
AVERS,Maintains
AMGEN,Major biotech company
SNAFU,Major mix-up
AMINT,Make ___ (get rich)
AFACE,Make ___ (mug)
ACASE,Make ___ for
ADENT,Make ___ in
AFOOL,Make ___ of
ANOTE,Make ___ of
SWIPE,Make a choice on Tinder
ATONE,Make amends (for)
REINK,"Make brighter, as a fading tattoo"
EMEND,Make corrections to
BESOT,"Make drunk, quaintly"
REDIG,Make even deeper
ROAST,Make fun of mercilessly
SEXUP,Make more alluring
UNIFY,Make one
REFIT,"Make over, as a ship"
KEYUP,Make psyched
ADDUP,Make sense
JANDJ,"Maker of ""No more tears"" baby shampoo, for short"
RICOH,Maker of digital cameras and printers
BAKER,Maker of tarts and tortes
ACURA,"Maker of the MDX, NSX and TLX"
TESLA,Maker of the Model S and Model 3
ORTHO,Maker of Weed B Gon
EARNS,Makes
KNITS,"Makes a scarf, say"
PLOPS,Makes a splash
GILDS,Makes deceptively attractive
BLURS,Makes fuzzy
NERFS,"Makes less powerful, in video game slang"
EASES,Makes more bearable
NUMBS,"Makes tingly, in a way"
NULLS,Makes void
SEALS,Makes watertight
JADES,Makes weary through overexposure
NUDES,Makeup shades that match skin tones
INEPT,Maladroit
AGUES,Malaria may cause these
BILGE,Malarkey
KARLS,Malden and Marx
DRAKE,Male mallard
SASHA,Malia Obama's sister
FORTY,"Malt liquor bottle, in slang"
SHAKE,"Malted, e.g."
VIRUS,"Malware, often"
COATI,Mammal found in the Andean cloud forest
TAPIR,Mammal with a prehensile proboscis
APLAN,Man with ___
AESOP,Man with morals
ANDRO,Man: Prefix
HASTA,Manana preceder
